duration,poutcome,contact,housing,pdays,previous,campaign,loan,marital,y
79,0,2,0,0,0,1,0,2,0
220,2,2,1,339,4,1,1,2,0
185,2,2,1,330,1,1,0,0,0
199,0,0,1,0,0,4,1,2,0
226,0,0,1,0,0,1,0,2,0
141,2,2,0,176,3,2,0,0,0
341,1,2,1,330,2,1,0,2,0
151,0,2,1,0,0,2,0,2,0
57,0,0,1,0,0,2,0,2,0
313,2,2,1,147,2,1,1,2,0
273,0,0,1,0,0,1,0,2,0
113,0,2,1,0,0,2,0,2,0
328,0,2,0,0,0,2,0,2,0
261,0,2,0,0,0,1,0,0,1
89,2,2,1,241,1,1,1,2,0
189,0,2,0,0,0,2,1,2,0
239,0,2,0,0,0,5,0,2,0
114,2,2,1,152,2,1,0,0,0
250,0,0,1,0,0,1,0,0,0
148,1,2,0,152,1,1,0,2,0
96,0,2,1,0,0,2,0,1,0
140,0,2,0,0,0,3,0,1,0
109,0,0,0,0,0,2,0,0,0
125,0,2,0,0,0,2,0,2,0
169,0,2,0,0,0,3,0,2,0
182,0,2,0,0,0,2,0,2,0
247,0,0,1,0,0,1,0,2,0
119,2,1,0,105,2,1,0,2,0
149,0,2,0,0,0,2,1,2,0
74,0,2,0,0,0,2,1,2,0
897,0,1,0,0,0,2,0,1,1
81,0,2,0,0,0,3,0,2,0
40,0,2,0,0,0,1,0,2,0
958,0,2,1,0,0,6,0,0,1
354,0,2,0,0,0,3,0,2,1
150,0,0,1,0,0,1,0,1,0
97,0,1,0,0,0,1,0,1,1
132,0,2,1,0,0,1,0,2,1
765,2,2,1,342,2,1,0,2,1
16,0,0,1,0,0,18,0,0,0
609,2,0,1,101,3,2,0,0,0
106,0,2,0,0,0,2,0,0,0
365,0,2,1,0,0,1,0,2,0
205,0,2,1,0,0,3,0,2,0
11,0,2,1,0,0,4,0,0,0
105,0,0,1,0,0,2,0,0,0
59,1,1,0,5,2,3,0,2,0
425,0,0,1,0,0,1,0,2,0
204,0,2,1,0,0,1,1,0,0
181,3,2,1,92,1,1,0,2,1
1018,0,0,0,0,0,3,0,1,1
1740,0,2,1,0,0,2,0,0,0
98,0,2,0,0,0,2,0,0,0
441,1,2,1,56,1,1,0,2,1
272,0,2,1,0,0,3,0,2,0
159,0,1,1,0,0,2,0,2,0
140,0,1,0,0,0,1,1,2,0
295,0,2,0,0,0,1,0,0,0
314,0,0,1,0,0,1,1,0,0
579,0,0,1,0,0,1,1,1,0
554,0,1,0,0,0,3,1,2,0
323,0,2,1,0,0,1,0,2,0
227,0,2,0,0,0,2,0,2,0
134,0,2,0,0,0,2,0,2,0
223,0,2,0,0,0,1,0,2,0
134,2,2,1,170,5,1,0,1,0
155,0,2,1,0,0,1,0,2,0
130,0,2,1,0,0,4,0,2,0
630,0,2,0,0,0,3,1,2,0
164,0,2,0,0,0,2,0,0,0
268,3,2,0,182,3,2,0,2,1
380,0,0,1,0,0,1,0,1,0
154,0,0,1,0,0,2,0,0,0
154,0,0,1,0,0,5,0,2,0
221,0,0,1,0,0,1,0,2,0
67,0,2,0,0,0,2,0,1,0
367,1,2,1,297,1,2,0,1,0
87,0,2,0,0,0,6,1,0,0
701,0,2,0,0,0,1,0,1,0
204,2,2,1,196,1,2,0,2,0
652,0,2,1,0,0,1,0,1,1
63,0,2,0,0,0,2,0,2,0
150,0,2,1,0,0,1,1,0,0
398,2,1,0,460,2,2,0,2,1
224,0,2,0,0,0,1,0,2,1
406,0,0,1,0,0,2,0,2,0
60,0,2,0,0,0,4,1,0,0
521,0,0,1,0,0,2,0,0,0
279,0,2,1,0,0,1,0,2,0
203,0,0,1,0,0,2,0,2,0
201,0,2,0,0,0,2,0,2,0
372,0,0,1,0,0,3,0,2,0
391,0,2,1,0,0,1,0,0,1
165,0,2,0,0,0,2,0,0,0
231,0,2,0,0,0,5,0,2,0
291,0,2,0,0,0,2,0,0,0
149,0,0,1,0,0,2,0,2,0
233,2,2,0,137,20,1,0,0,0
473,3,2,0,182,1,1,0,1,0
736,0,2,0,0,0,1,0,0,1
337,0,0,1,0,0,1,0,2,0
553,2,2,1,367,7,1,0,0,0
345,0,1,0,0,0,2,0,2,0
65,0,1,1,0,0,2,0,0,0
9,0,0,0,0,0,1,0,0,0
259,2,2,1,145,3,2,0,0,0
371,0,0,1,0,0,3,1,2,0
280,0,2,1,0,0,2,0,2,0
243,0,2,0,0,0,1,0,2,1
435,0,2,1,0,0,3,0,2,0
258,3,2,0,169,3,6,0,0,1
7,0,1,1,0,0,5,0,2,0
317,0,2,1,0,0,5,1,2,0
76,2,2,0,207,1,2,0,0,0
170,0,1,0,0,0,4,0,0,1
386,0,2,0,0,0,2,1,0,1
83,0,2,1,0,0,2,0,2,0
65,0,2,0,0,0,1,1,0,0
69,0,2,0,0,0,1,0,2,0
564,0,0,0,0,0,2,0,1,0
588,0,2,1,0,0,1,0,1,0
113,0,2,0,0,0,4,0,2,0
16,0,0,1,0,0,1,0,2,0
779,0,2,0,0,0,2,1,2,0
281,2,2,1,266,6,2,0,0,0
1877,0,2,0,0,0,3,0,0,1
51,0,0,0,0,0,1,0,0,0
32,0,2,0,0,0,3,1,0,0
176,2,1,0,288,3,1,0,0,0
161,0,2,0,0,0,1,0,1,1
187,0,2,1,0,0,3,0,2,0
24,0,0,1,0,0,1,0,2,0
67,0,0,1,0,0,3,0,2,0
85,2,2,1,168,2,1,0,2,0
317,0,0,1,0,0,2,0,0,0
236,0,2,0,0,0,10,0,0,0
54,2,2,1,345,2,1,1,0,0
71,0,2,0,0,0,1,0,0,0
489,0,2,1,0,0,1,0,2,1
39,0,0,0,0,0,2,0,2,0
204,0,2,0,0,0,2,0,1,0
455,0,2,1,0,0,2,0,0,0
86,0,0,1,0,0,1,0,1,0
190,0,2,1,0,0,2,0,0,0
280,0,0,1,0,0,2,1,2,0
588,0,2,0,0,0,2,1,2,0
45,0,0,0,0,0,9,1,2,0
168,0,2,1,0,0,5,0,2,0
194,1,2,1,436,1,4,0,2,0
103,0,0,1,0,0,3,0,0,0
333,0,0,1,0,0,2,0,2,0
102,0,2,1,0,0,3,1,0,0
92,0,0,1,0,0,1,1,1,0
213,0,2,0,0,0,2,0,2,0
289,0,0,0,0,0,1,0,2,0
77,0,2,0,0,0,2,0,1,0
324,3,2,0,90,2,3,0,2,1
84,2,2,1,183,3,3,0,2,0
168,0,2,0,0,0,1,0,0,0
380,0,2,1,0,0,1,0,2,0
10,0,0,0,0,0,1,0,2,0
199,0,0,1,0,0,2,0,0,0
35,0,0,0,0,0,3,1,0,0
82,0,0,1,0,0,2,1,2,0
676,2,2,0,146,2,2,0,0,1
455,0,0,1,0,0,1,0,0,0
80,0,1,0,0,0,4,0,2,0
549,0,2,1,0,0,2,0,1,0
135,0,0,0,0,0,1,0,2,0
412,0,2,1,0,0,1,1,0,0
101,0,0,0,0,0,3,0,2,0
253,0,2,0,0,0,2,0,0,0
272,1,2,1,335,4,1,1,0,0
84,0,2,1,0,0,1,0,2,0
135,0,2,0,0,0,2,0,2,0
166,0,2,1,0,0,1,1,2,0
18,0,2,1,0,0,7,1,2,0
147,2,2,1,347,1,2,0,2,0
63,0,0,0,0,0,1,0,2,0
65,2,2,1,119,1,2,0,2,0
194,0,2,1,0,0,2,1,0,0
333,0,2,0,0,0,2,1,0,0
14,0,2,1,0,0,5,0,0,0
140,0,0,0,0,0,1,0,1,0
109,0,0,1,0,0,3,0,2,0
61,0,2,1,0,0,2,0,2,0
377,3,1,1,7,4,3,0,2,0
96,1,2,1,271,2,1,0,0,0
152,2,2,1,347,1,2,0,2,0
382,0,2,1,0,0,2,0,2,1
97,0,1,1,0,0,6,1,2,0
543,0,2,1,0,0,12,0,2,0
240,0,2,0,0,0,2,0,0,0
48,0,0,0,0,0,2,0,2,0
471,0,2,0,0,0,2,0,0,0
354,0,2,1,0,0,3,0,1,0
435,0,0,1,0,0,2,0,0,0
152,0,2,0,0,0,2,1,2,0
285,0,2,0,0,0,1,0,2,0
185,3,1,0,181,2,1,0,2,1
301,3,2,1,88,2,1,0,0,0
273,0,2,0,0,0,2,0,2,0
768,2,2,1,141,3,2,0,0,1
1337,2,2,1,126,1,4,0,1,0
403,0,1,0,0,0,1,0,0,1
139,0,2,1,0,0,2,0,0,0
196,0,2,1,0,0,1,1,2,0
115,2,2,1,61,1,1,0,2,0
60,2,2,1,271,1,1,0,0,0
17,0,2,0,0,0,14,0,2,0
141,0,2,1,0,0,3,0,0,0
95,0,0,1,0,0,3,0,0,0
10,1,2,1,373,1,2,0,2,0
198,0,2,0,0,0,1,0,2,0
220,0,2,0,0,0,4,0,2,0
654,0,2,1,0,0,2,0,2,1
71,0,2,0,0,0,2,0,2,0
256,2,2,1,351,2,2,0,2,0
834,0,1,1,0,0,10,1,2,0
151,0,2,0,0,0,3,0,2,0
20,0,2,1,0,0,3,0,2,0
178,0,0,1,0,0,5,0,2,0
59,0,0,0,0,0,2,0,2,0
111,0,2,0,0,0,7,0,2,0
186,0,2,1,0,0,1,0,2,0
227,0,0,1,0,0,1,0,0,0
297,0,2,0,0,0,3,0,2,0
210,1,2,1,242,1,1,0,2,0
9,0,2,1,0,0,1,0,2,0
112,1,2,1,62,6,1,1,2,0
112,0,2,0,0,0,6,0,2,0
222,0,0,0,0,0,3,0,2,0
195,2,2,1,351,10,3,0,0,0
768,3,2,1,91,5,2,0,0,0
123,0,2,0,0,0,1,0,0,0
145,0,2,0,0,0,3,0,1,0
124,1,2,1,308,2,1,0,2,0
216,0,0,1,0,0,3,0,2,0
69,0,0,0,0,0,3,0,2,0
168,0,2,1,0,0,4,0,2,0
483,0,2,1,0,0,7,0,0,0
690,0,2,0,0,0,3,0,2,0
125,0,2,0,0,0,12,0,2,0
344,0,0,1,0,0,2,1,2,0
673,0,0,1,0,0,2,0,2,0
60,1,2,1,250,1,1,0,2,0
247,0,0,1,0,0,2,0,2,0
123,0,2,0,0,0,2,0,0,0
144,0,2,1,0,0,2,0,2,0
9,2,2,0,172,5,2,1,2,0
155,0,2,1,0,0,3,0,2,0
134,0,2,0,0,0,5,0,2,0
221,0,2,0,0,0,2,1,1,0
84,2,2,1,265,2,3,0,2,0
71,0,2,0,0,0,2,0,2,0
246,0,0,1,0,0,4,1,2,0
361,0,2,0,0,0,2,1,2,0
119,0,2,0,0,0,4,0,0,0
375,0,2,1,0,0,2,0,1,0
1097,0,2,0,0,0,3,1,0,1
97,0,2,1,0,0,1,1,2,0
181,0,2,0,0,0,2,0,0,0
83,0,2,0,0,0,3,0,0,0
180,0,2,0,0,0,4,1,2,0
543,2,2,0,78,2,1,0,2,0
373,0,0,1,0,0,1,1,2,0
230,0,0,1,0,0,1,0,0,0
83,0,2,1,0,0,3,1,2,0
58,0,1,1,0,0,13,0,0,0
88,0,2,0,0,0,6,0,1,0
297,2,2,1,28,3,1,0,2,0
487,0,2,1,0,0,1,1,0,1
29,0,0,0,0,0,3,0,2,0
484,0,2,1,0,0,4,0,2,0
262,0,2,1,0,0,4,0,0,0
644,0,0,1,0,0,1,0,2,0
699,2,2,0,79,1,2,0,2,0
247,0,2,0,0,0,2,0,0,0
49,0,2,0,0,0,3,0,2,0
341,0,2,1,0,0,1,0,1,0
64,0,0,0,0,0,2,0,2,0
121,0,2,1,0,0,1,0,2,0
98,0,0,1,0,0,1,0,0,0
88,0,0,0,0,0,6,0,1,0
197,0,0,0,0,0,6,0,2,0
331,0,0,1,0,0,1,0,0,0
83,0,0,1,0,0,3,0,2,0
138,0,0,1,0,0,2,0,2,0
312,0,2,1,0,0,5,0,2,0
120,3,2,0,1,6,3,1,2,1
526,0,2,1,0,0,2,0,2,1
211,0,0,1,0,0,2,0,2,0
62,0,2,0,0,0,6,0,2,0
135,0,2,1,0,0,5,1,1,0
101,0,2,0,0,0,2,0,2,0
988,0,2,1,0,0,2,0,1,1
451,0,2,0,0,0,1,0,2,0
1030,0,0,1,0,0,1,0,1,1
1484,0,2,1,0,0,24,1,2,1
317,0,2,1,0,0,5,0,2,1
445,0,2,0,0,0,1,0,1,0
383,2,2,0,188,5,2,0,1,0
605,0,1,1,0,0,1,0,2,0
330,0,2,1,0,0,2,0,2,0
171,0,2,0,0,0,2,1,2,0
442,0,2,0,0,0,2,1,2,0
772,0,2,1,0,0,1,0,2,1
249,0,0,1,0,0,5,1,2,0
357,0,0,1,0,0,1,0,2,0
147,0,2,0,0,0,2,0,2,0
199,2,2,1,167,1,7,1,2,0
271,0,2,0,0,0,2,0,2,0
783,0,2,1,0,0,3,0,0,0
472,0,2,0,0,0,2,1,2,0
223,2,2,1,89,2,3,0,0,1
395,0,0,1,0,0,2,0,2,0
56,0,2,0,0,0,1,0,2,0
641,0,0,0,0,0,6,1,2,0
429,2,2,0,164,2,4,0,2,1
113,0,0,0,0,0,1,0,0,0
11,0,0,0,0,0,11,0,2,0
157,0,2,0,0,0,1,0,2,0
79,0,2,0,0,0,4,1,0,0
178,3,2,0,1,1,1,0,2,1
168,0,0,1,0,0,1,1,2,0
425,2,2,0,462,1,1,0,2,0
162,0,2,0,0,0,1,1,2,0
799,0,2,1,0,0,2,0,0,1
1370,3,2,0,209,3,3,0,2,1
357,0,0,1,0,0,1,0,0,0
22,0,2,0,0,0,6,0,2,0
215,1,2,1,321,3,3,0,0,0
56,0,2,1,0,0,4,0,2,0
1017,0,2,1,0,0,6,0,2,1
298,0,2,0,0,0,4,0,0,1
126,0,0,0,0,0,1,1,1,0
9,0,0,0,0,0,1,0,2,0
8,2,2,1,254,5,1,0,0,0
201,3,2,0,183,1,1,0,2,0
106,0,2,0,0,0,2,0,1,0
164,2,2,1,176,1,1,1,2,0
97,0,2,0,0,0,1,0,2,0
151,0,2,0,0,0,1,1,0,0
96,0,0,1,0,0,2,0,0,0
555,0,2,1,0,0,1,0,0,0
270,2,2,1,347,1,2,1,0,0
339,0,2,0,0,0,3,0,2,0
328,3,2,0,94,2,2,0,2,1
159,0,0,1,0,0,1,1,2,0
323,2,2,1,364,1,2,0,2,0
342,0,2,1,0,0,1,0,2,0
180,0,2,1,0,0,1,0,2,0
60,0,2,0,0,0,3,1,2,0
223,2,2,0,96,2,1,0,2,0
1434,2,2,1,356,4,2,0,2,0
30,0,0,1,0,0,2,0,0,0
134,0,0,1,0,0,4,0,2,0
10,0,2,0,0,0,2,0,0,0
397,0,2,0,0,0,2,0,1,1
620,0,2,1,0,0,1,0,0,0
6,0,2,0,0,0,6,0,0,0
209,0,2,1,0,0,2,1,2,0
419,0,0,1,0,0,2,0,2,0
283,0,2,1,0,0,2,0,2,0
188,0,2,0,0,0,2,0,2,0
267,0,2,0,0,0,1,0,0,0
196,0,2,1,0,0,2,0,0,0
245,2,2,1,149,2,1,0,0,0
323,0,2,0,0,0,1,0,0,1
1065,1,2,1,183,1,1,0,2,0
138,0,0,0,0,0,5,0,2,0
207,0,2,0,0,0,1,0,2,0
456,0,0,0,0,0,3,0,2,0
261,0,2,1,0,0,1,0,2,0
80,2,2,1,308,4,1,0,2,0
131,2,2,1,363,9,6,0,0,0
94,0,0,1,0,0,7,0,2,0
567,2,2,1,275,4,3,0,2,1
153,0,0,1,0,0,1,0,1,0
109,0,2,1,0,0,1,0,0,0
53,2,2,1,325,1,1,0,2,0
77,0,0,1,0,0,1,0,2,0
234,0,1,0,0,0,2,0,2,1
121,2,1,1,341,4,2,0,2,0
155,0,2,1,0,0,2,0,2,0
108,0,2,0,0,0,1,0,2,0
159,0,0,0,0,0,3,0,2,0
208,0,0,1,0,0,3,0,2,0
215,0,2,0,0,0,1,0,2,0
