duration,poutcome,contact,housing,pdays,previous,campaign,loan,marital,y
261,0,0,1,0,0,1,0,2,0
151,0,0,1,0,0,1,0,0,0
76,0,0,1,0,0,1,1,2,0
92,0,0,1,0,0,1,0,2,0
198,0,0,0,0,0,1,0,0,0
139,0,0,1,0,0,1,0,2,0
217,0,0,1,0,0,1,1,0,0
380,0,0,1,0,0,1,0,1,0
50,0,0,1,0,0,1,0,2,0
55,0,0,1,0,0,1,0,0,0
222,0,0,1,0,0,1,0,1,0
137,0,0,1,0,0,1,0,0,0
517,0,0,1,0,0,1,0,2,0
71,0,0,1,0,0,1,0,2,0
174,0,0,1,0,0,1,0,2,0
353,0,0,1,0,0,1,0,2,0
98,0,0,1,0,0,1,0,0,0
38,0,0,1,0,0,1,0,2,0
219,0,0,1,0,0,1,0,2,0
54,0,0,1,0,0,1,0,2,0
262,0,0,1,0,0,1,1,2,0
164,0,0,1,0,0,1,0,2,0
160,0,0,1,0,0,1,1,0,0
342,0,0,1,0,0,1,0,2,0
181,0,0,1,0,0,1,1,2,0
172,0,0,1,0,0,1,0,2,0
296,0,0,1,0,0,1,0,0,0
127,0,0,1,0,0,1,1,2,0
255,0,0,1,0,0,2,0,0,0
348,0,0,1,0,0,1,1,0,0
225,0,0,0,0,0,1,1,2,0
230,0,0,1,0,0,1,0,2,0
208,0,0,1,0,0,1,1,2,0
226,0,0,1,0,0,1,0,2,0
336,0,0,1,0,0,1,0,2,0
242,0,0,1,0,0,1,0,1,0
365,0,0,1,0,0,1,0,2,0
1666,0,0,0,0,0,1,0,2,0
577,0,0,1,0,0,1,0,1,0
137,0,0,1,0,0,1,0,0,0
160,0,0,1,0,0,1,0,1,0
180,0,0,1,0,0,2,0,2,0
22,0,0,1,0,0,1,0,2,0
1492,0,0,1,0,0,1,0,2,0
616,0,0,1,0,0,1,0,2,0
242,0,0,1,0,0,1,0,0,0
355,0,0,1,0,0,1,0,2,0
225,0,0,1,0,0,2,0,2,0
160,0,0,0,0,0,1,0,1,0
363,0,0,1,0,0,1,0,0,0
266,0,0,1,0,0,1,0,2,0
253,0,0,1,0,0,1,0,1,0
179,0,0,1,0,0,1,0,2,0
787,0,0,1,0,0,1,0,0,0
145,0,0,1,0,0,1,1,0,0
174,0,0,0,0,0,1,1,0,0
104,0,0,1,0,0,1,0,0,0
13,0,0,1,0,0,1,0,2,0
185,0,0,1,0,0,1,0,0,0
1778,0,0,1,0,0,1,0,2,0
138,0,0,1,0,0,1,0,2,0
812,0,0,1,0,0,1,0,1,0
164,0,0,1,0,0,1,0,2,0
391,0,0,1,0,0,1,0,2,0
357,0,0,1,0,0,1,0,2,0
91,0,0,1,0,0,1,0,2,0
528,0,0,0,0,0,1,0,2,0
273,0,0,1,0,0,1,0,1,0
158,0,0,1,0,0,2,0,2,0
177,0,0,1,0,0,1,1,0,0
258,0,0,1,0,0,1,1,2,0
172,0,0,1,0,0,1,1,2,0
